property_number,venue_name,venue_address,space_type,website,lat,lon,location,geolocation
631756,The Emerald Peacock,"233 Lonsdale Street, Melbourne, 3000",Bar,http://theemeraldpeacock.com/,-37.81146925497217,144.9655499214504,POINT (144.96554992145 -37.811469254972),"-37.81146925497217, 144.9655499214504"
103993,Waterside Hotel,"508-514 Flinders Street, Melbourne, 3000",,,-37.820280653979886,144.95723615975294,POINT (144.957236159753 -37.82028065398),"-37.820280653979886, 144.95723615975294"
622055,Spice Market,"LwrGround, 121-131 Collins Street, Melbourne, 3000",Nightclub,http://www.spicemarket.net.au/,-37.81548538501546,144.96956538490497,POINT (144.969565384905 -37.815485385015),"-37.81548538501546, 144.96956538490497"
562238,Manchuria,"Level 1, 7-9 Waratah Place, Melbourne, 3000",Bar,http://www.manchuriabar.com/,-37.811626300807845,144.96709845288777,POINT (144.967098452888 -37.811626300808),"-37.811626300807845, 144.96709845288777"
657233,The Toff in Town,"Unit S3-S4, Level 2, 252 Swanston Street, Melbourne, 3000",Venue,https://www.thetoffintown.com/,-37.81204362060309,144.96521148704275,POINT (144.965211487043 -37.812043620603),"-37.81204362060309, 144.96521148704275"
506429,Sofitel Melbourne On Collins,"Sofitel Hotel, Collins Tower, 25 Collins Street, Melbourne, 3000",Accommodation,http://www.sofitel-melbourne.com.au/,-37.81376526700552,144.9729234875978,POINT (144.972923487598 -37.813765267006),"-37.81376526700552, 144.9729234875978"
515538,Paris Cat Jazz Club,"4-6 Goldie Place, Melbourne, 3000",Venue,http://pariscat.com.au/,-37.813558526665716,144.96075407581748,POINT (144.960754075817 -37.813558526666),"-37.813558526665716, 144.96075407581748"
598592,RACV City Club,"501 Bourke Street, Melbourne, 3000",Hotel,https://www.racv.com.au/travel-leisure/racv-club/city-club.html,-37.81557207833605,144.9591017007643,POINT (144.959101700764 -37.815572078336),"-37.81557207833605, 144.9591017007643"
602248,Workshop,"Level 1, 413-417 Elizabeth Street, Melbourne, 3000",Bar,http://www.workshopbar.com.au/,-37.80915406493112,144.9606400792035,POINT (144.960640079204 -37.809154064931),"-37.80915406493112, 144.9606400792035"
104020,The Forum Theatre,"150-162 Flinders Street, Melbourne, 3000",Venue,https://forummelbourne.com.au/,-37.81672152422505,144.9694950938554,POINT (144.969495093855 -37.816721524225),"-37.81672152422505, 144.9694950938554"
105941,The Bottom End,"577-583 Little Collins Street, Melbourne, 3000",,,-37.81764606140045,144.95554920127617,POINT (144.955549201276 -37.8176460614),"-37.81764606140045, 144.95554920127617"
521316,New Guernica,"Level 2, 318-322 Little Collins Street, Melbourne, 3000",Nightclub,http://www.newguernica.com.au/,-37.81503810840179,144.96410864029963,POINT (144.9641086403 -37.815038108402),"-37.81503810840179, 144.96410864029963"
604756,CQ Melbourne,"Ground, 113 Queen Street, Melbourne, 3000",Nightclub,http://www.cqmelbourne.com.au/our-venues/cq-nightclub-home,-37.815890178211724,144.9609036675483,POINT (144.960903667548 -37.815890178212),"-37.815890178211724, 144.9609036675483"
543106,The Red Hummingbird,"Level 1, 246 Russell Street, Melbourne, 3000",Bar,https://www.redhummingbird.com.au/,-37.81048858505954,144.96722384705905,POINT (144.967223847059 -37.81048858506),"-37.81048858505954, 144.96722384705905"
507457,The Lui Bar,"Level 55S, 525 Collins Street, Melbourne, 3000",,,-37.818353178519466,144.95714325498983,POINT (144.95714325499 -37.818353178519),"-37.818353178519466, 144.95714325498983"
103994,Insignia On Flinders,"502-504 Flinders Street, Melbourne, 3000",Bar,https://www.zomato.com/melbourne/insignia-flinders-street-cbd-melbourne,-37.82013879156501,144.95772242087293,POINT (144.957722420873 -37.820138791565),"-37.82013879156501, 144.95772242087293"
