Genre,count,danceability,energy
dance pop,130,0.6776923076923074,0.6580692307692305
alternative metal,11,0.4268181818181818,0.7924545454545455
atl hip hop,10,0.7273,0.5409
alternative r&b,17,0.6731176470588236,0.4944705882352943
pop,24,0.6471250000000001,0.5137416666666665
n-a,17,0.7227647058823529,0.5695823529411764
art pop,12,0.5860833333333333,0.6159166666666668
album rock,15,0.6174666666666666,0.7238000000000001
uk hip hop,14,0.6793571428571429,0.678642857142857
canadian pop,14,0.6090714285714286,0.5936428571428571
folk-pop,25,0.5959599999999999,0.6492400000000003
big room,11,0.6764545454545455,0.7526363636363637
australian pop,71,0.6082535211267606,0.6420281690140845
boy band,36,0.6499166666666667,0.6983333333333334
hip hop,12,0.7835833333333334,0.6255
electropop,14,0.6761428571428573,0.5932857142857143
adult standards,17,0.46794117647058825,0.34847058823529414
aussietronica,36,0.6267222222222222,0.7120277777777777
alternative rock,19,0.5587894736842105,0.7693684210526317
east coast hip hop,11,0.7800909090909091,0.7537272727272728
australian dance,45,0.5987555555555558,0.6916888888888889
australian hip hop,49,0.6824897959183672,0.6637346938775512
alternative dance,17,0.6645882352941177,0.8259411764705883
australian rock,18,0.5630000000000001,0.6959444444444445
australian reggae fusion,37,0.5181081081081081,0.6567837837837839
australian indie,66,0.627742424242424,0.6609090909090908
australian electropop,18,0.6074444444444446,0.7294444444444443
australian alternative pop,20,0.65695,0.5706
aussie drill,48,0.8056875000000002,0.6533958333333334
australian alternative rock,33,0.5365454545454545,0.7305454545454544
